2023-00020958,0685615103,2022,EUR,22.19.2,m87-f,31/01/2023,16,MIC-inb 1
N°,0685615103,MIC-inb 2.1
"Naam, voornamen, beroep en woonplaats",Lidmaatschapsnummer,"Aard van de opdracht (A, B,C en/of D)"
N°,0685615103,MIC-inb 3.1
"",Toel.,Codes,Boekjaar,,Vorig boekjaar
CTIVA,,,,,
PRICHTINGSKOSTEN,,20,,,
ASTE ACTIVA,,21/28,31.429,,40.252
mmateriële vaste activa,6.1.1,21,0,,83
ateriële vaste activa,6.1.2,22/27,31.429,,40.168
Terreinen en gebouwen,,22,,,
"Installaties, machines en uitrusting",,23,779,,1.343
Meubilair en rollend materieel,,24,30.650,,38.825
Leasing en soortgelijke rechten,,25,,,
Overige materiële vaste activa,,26,,,
Activa in aanbouw en vooruitbetalingen,,27,,,
inanciële vaste activa,6.1.3,28,,,
LOTTENDE ACTIVA,,29/58,309.507,,291.755
orderingen op meer dan één jaar,,29,,,
Handelsvorderingen,,290,,,
Overige vorderingen,,291,,,
oorraden en bestellingen in uitvoering,,3,39.795,,22.479
Voorraden,,30/36,39.795,,22.479
Bestellingen in uitvoering,,37,,,
orderingen op ten hoogste één jaar,,40/41,130.241,,129.216
Handelsvorderingen,,40,126.881,,128.875
Overige vorderingen,,41,3.360,,341
eldbeleggingen,,50/53,,,
iquide middelen,,54/58,139.471,,140.060
verlopende rekeningen,,490/1,,,
OTAAL VAN DE ACTIVA,,20/58,340.936,,332.006
N°,0685615103,MIC-inb 3.2
"",,Toel.,Codes,Boekjaar,,Vorig boekjaar
ASSIVA,,,,,,
IGEN VERMOGEN,,,10/15,197.326,,167.922
nbreng,,,10/11,18.600,,12.400
Beschikbaar,,,110,18.600,,0
Onbeschikbaar,,,111,0,,12.400
erwaarderingsmeerwaarden,,,12,,,
eserves,,,13,178.726,,155.522
Onbeschikbare reserves,,,130/1,0,,1.860
Statutair onbeschikbare reserves,,,1311,0,,1.860
Inkoop eigen aandelen,,,1312,,,
Financiële steunverlening,,,1313,,,
Andere,,,1319,,,
Belastingvrije reserves,,,132,16.286,,16.286
Beschikbare reserves,,,133,162.441,,137.377
vergedragen winst (verlies),(+)/(-),,14,,,
apitaalsubsidies,,,15,,,
oorschot aan de vennoten op de verdeling van het netto-,,,19,,,
ctief,,,,,,
OORZIENINGEN EN UITGESTELDE BELASTINGEN,,,16,,,
oorzieningen voor risico's en kosten,,,160/5,,,
Pensioenen en soortgelijke verplichtingen,,,160,,,
Belastingen,,,161,,,
Grote herstellings- en onderhoudswerken,,,162,,,
Milieuverplichtingen,,,163,,,
Overige risico's en kosten,,,164/5,,,
itgestelde belastingen,,,168,,,
N°,0685615103,MIC-inb 3.2
"",Toel.,Codes,Boekjaar,,Vorig boekjaar
CHULDEN,,17/49,143.610,,164.084
chulden op meer dan één jaar,,17,0,,4.484
Financiële schulden,,170/4,0,,4.484
"Kredietinstellingen, leasingschulden en soortgelijke schulden",,172/3,0,,4.484
Overige leningen,,174/0,,,
Handelsschulden,,175,,,
Vooruitbetalingen op bestellingen,,176,,,
Overige schulden,,178/9,,,
chulden op ten hoogste één jaar,,42/48,143.610,,159.600
Schulden op meer dan één jaar die binnen het jaar vervallen,,42,4.484,,4.427
Financiële schulden,,43,,,
Kredietinstellingen,,430/8,,,
Overige leningen,,439,,,
Handelsschulden,,44,72.271,,58.793
Leveranciers,,440/4,72.271,,58.793
Te betalen wissels,,441,,,
Vooruitbetalingen op bestellingen,,46,,,
"Schulden met betrekking tot belastingen, bezoldigingen en sociale lasten",,45,28.784,,43.088
Belastingen,,450/3,26.386,,40.621
Bezoldigingen en sociale lasten,,454/9,2.398,,2.467
Overige schulden,,47/48,38.070,,53.291
verlopende rekeningen,,492/3,,,
OTAAL VAN DE PASSIVA,,10/49,340.936,,332.006
N°,0685615103,MIC-inb 4
"",,Codes,Boekjaar,,Vorig boekjaar
edrijfsopbrengsten en bedrijfskosten,,,,,
Brutomarge,(+)/(-),9900,,90.198,132.180
Waarvan: niet-recurrente bedrijfsopbrengsten,,76A,,,
Omzet,,70,,,
"Handelsgoederen, grond- en hulpstoffen, diensten en diverse goederen",,60/61,,,
"Bezoldigingen, sociale lasten en pensioenen",(+)/(-),62,,41.627,43.441
"Afschrijvingen en waardeverminderingen op oprichtingskosten, op",,630,,8.823,3.445
immateriële en materiële vaste activa,,,,,
"Waardeverminderingen op voorraden, op bestellingen in uitvoering en op",(+)/(-),631/4,,,
handelsvorderingen: toevoegingen (terugnemingen),,,,,
Voorzieningen voor risico's en kosten: toevoegingen (bestedingen en,(+)/(-),635/8,,,
terugnemingen),,,,,
Andere bedrijfskosten,,640/8,,1.462,666
Als herstructureringskosten geactiveerde bedrijfskosten,(-),649,,,
Niet-recurrente bedrijfskosten,,66A,,0,2.622
edrijfswinst (Bedrijfsverlies),(+)/(-),9901,,38.287,82.006
inanciële opbrengsten,,75/76B,,0,20
Recurrente financiële opbrengsten,,75,,0,20
Waarvan: kapitaal- en interestsubsidies,,753,,,
Niet-recurrente financiële opbrengsten,,76B,,,
inanciële kosten,,65/66B,,3.706,2.987
Recurrente financiële kosten,,65,,3.706,2.987
Niet-recurrente financiële kosten,,66B,,,
inst (Verlies) van het boekjaar vóór belasting,(+)/(-),9903,,34.581,79.038
nttrekking aan de uitgestelde belastingen,,780,,,
verboeking naar de uitgestelde belastingen,,680,,,
elastingen op het resultaat,(+)/(-),67/77,,11.377,26.821
inst (Verlies) van het boekjaar,(+)/(-),9904,,23.204,52.217
nttrekking aan de belastingvrije reserves,,789,,,
verboeking naar de belastingvrije reserves,,689,,,
e bestemmen winst (verlies) van het boekjaar,(+)/(-),9905,,23.204,52.217
N°,0685615103,MIC-inb 5
"",,Codes,Boekjaar,,Vorig boekjaar
e bestemmen winst (verlies),(+)/(-),9906,,23.204,52.217
Te bestemmen winst (verlies) van het boekjaar,(+)/(-),(9905),,23.204,52.217
Overgedragen winst (verlies) van het vorige boekjaar,(+)/(-),14P,,,
nttrekking aan het eigen vermogen,,791/2,,,
oevoeging aan het eigen vermogen,,691/2,,23.204,52.217
aan de inbreng,,691,,,
aan de wettelijke reserve,,6920,,,
aan de overige reserves,,6921,,23.204,52.217
ver te dragen winst (verlies),(+)/(-),(14),,,
ussenkomst van de vennoten in het verlies,,794,,,
it te keren winst,,694/7,,,
Vergoeding van de inbreng,,694,,,
Bestuurders of zaakvoerders,,695,,,
Werknemers,,696,,,
Andere rechthebbenden,,697,,,
N°,0685615103,MIC-inb 6.1.1
"",,Codes,Boekjaar,Vorig boekjaar,
MMATERIËLE VASTE ACTIVA,,,,,
anschaffingswaarde per einde van het boekjaar,,8059P,XXXXXXXXXX,,5.000
utaties tijdens het boekjaar,,,,,
"Aanschaffingen, met inbegrip van de geproduceerde vaste activa",,8029,,,
Overdrachten en buitengebruikstellingen,,8039,,,
Overboekingen van een post naar een andere,(+)/(-),8049,,,
anschaffingswaarde per einde van het boekjaar,,8059,5.000,,
fschrijvingen en waardeverminderingen per einde van het boekjaar,,8129P,XXXXXXXXXX,,4.917
utaties tijdens het boekjaar,,,,,
