73,03/02/2022,BE 0685.615.103,14,EUR,,
NAT.,Datum neerlegging,Nr.,Blz.,D.,22048.00567,MIC-inb 1
"",,,
Nr.,BE 0685.615.103,,MIC-inb
"",,,
Nr.,BE 0685.615.103,,MIC-inb
Nr.,BE 0685.615.103,MIC-inb
Nr.,BE 0685.615.103,MIC-inb 3.1
"",Toel.,Codes,Boekjaar,,Vorig boekjaar
ACTIVA,,,,,
OPRICHTINGSKOSTEN,,20,,,
VASTE ACTIVA,,21/28,40.252,,5.187
Immateriële vaste activa,6.1.1,21,83,,1.083
Materiële vaste activa,6.1.2,22/27,40.168,,4.104
Terreinen en gebouwen,,22,,,
"Installaties, machines en uitrusting",,23,1.343,,2.274
Meubilair en rollend materieel,,24,38.825,,1.830
Leasing en soortgelijke rechten,,25,,,
Overige materiële vaste activa,,26,,,
Activa in aanbouw en vooruitbetalingen,,27,,,
Financiële vaste activa,6.1.3,28,,,
VLOTTENDE ACTIVA,,29/58,291.755,,369.109
Vorderingen op meer dan één jaar,,29,,,
Handelsvorderingen,,290,,,
Overige vorderingen,,291,,,
Voorraden en bestellingen in uitvoering,,3,22.479,,52.580
Voorraden,,30/36,22.479,,52.580
Bestellingen in uitvoering,,37,,,
Vorderingen op ten hoogste één jaar,,40/41,129.216,,113.511
Handelsvorderingen,,40,128.875,,112.478
Overige vorderingen,,41,341,,1.033
Geldbeleggingen,,50/53,,,
Liquide middelen,,54/58,140.060,,203.018
Overlopende rekeningen,,490/1,,,
TOTAAL VAN DE ACTIVA,,20/58,332.006,,374.296
Nr.,BE 0685.615.103,MIC-inb
Nr.,BE 0685.615.103,MIC-inb 3.2
"",,Toel.,Codes,Boekjaar,Vorig boekjaar
PASSIVA,,,,,
EIGEN VERMOGEN,,,10/15,167.922,115.705
Inbreng,,,10/11,12.400,12.400
Beschikbaar,,,110,,
Onbeschikbaar,,,111,12.400,12.400
Herwaarderingsmeerwaarden,,,12,,
Reserves,,,13,155.522,103.305
Onbeschikbare reserves,,,130/1,1.860,1.860
Statutair onbeschikbare reserves,,,1311,1.860,1.860
Inkoop eigen aandelen,,,1312,,
Financiële steunverlening,,,1313,,
Overige,,,1319,,
Belastingvrije reserves,,,132,16.286,16.286
Beschikbare reserves,,,133,137.377,85.160
Overgedragen winst (verlies) (+)/(-),,,14,,
Kapitaalsubsidies,,,15,,
Voorschot aan de vennoten op de verdeling van het,,,,,
netto-actief,,,19,,
VOORZIENINGEN EN UITGESTELDE,,,,,
BELASTINGEN,,,16,,
Voorzieningen voor risico's en kosten,,,160/5,,
Pensioenen en soortgelijke verplichtingen,,,160,,
Belastingen,,,161,,
Grote herstellings- en onderhoudswerken,,,162,,
Milieuverplichtingen,,,163,,
Overige risico's en kosten,,,164/5,,
Uitgestelde belastingen,,,168,,
SCHULDEN,,,17/49,164.084,258.591
Schulden op meer dan één jaar,,,17,4.484,8.912
Financiële schulden,,,170/4,4.484,8.912
"Kredietinstellingen, leasingschulden en soortgelijke",,,,,
schulden,,,172/3,4.484,8.912
Overige leningen,,,174/0,,
Handelsschulden,,,175,,
Vooruitbetalingen op bestellingen,,,176,,
Overige schulden,,,178/9,,
Schulden op ten hoogste één jaar,,,42/48,159.600,249.679
Schulden op meer dan één jaar die binnen het jaar,,,,,
vervallen,,,42,4.427,4.371
Financiële schulden,,,43,,
Kredietinstellingen,,,430/8,,
Overige leningen,,,439,,
Handelsschulden,,,44,58.793,122.736
Leveranciers,,,440/4,58.793,122.736
Te betalen wissels,,,441,,
Vooruitbetalingen op bestellingen,,,46,,
"Schulden met betrekking tot belastingen,",,,,,
bezoldigingen en sociale lasten,,,45,43.088,81.684
Belastingen,,,450/3,40.621,78.723
Bezoldigingen en sociale lasten,,,454/9,2.467,2.961
Overige schulden,,,47/48,53.291,40.888
Overlopende rekeningen,,,492/3,,
TOTAAL VAN DE PASSIVA,,,10/49,332.006,374.296
Nr.,BE 0685.615.103,MIC-inb
Nr.,BE 0685.615.103,MIC-inb 4
"",,Toel.,Codes,Boekjaar,Vorig boekjaar
Bedrijfsopbrengsten en bedrijfskosten,,,,,
Brutomarge (+)/(-),,,9900,132.180,111.701
Waarvan: niet-recurrente bedrijfsopbrengsten,,,76A,,
Omzet,,,70,,
"Handelsgoederen, grond- en hulpstoffen, diensten",,,,,
en diverse goederen,,,60/61,,
"Bezoldigingen, sociale lasten en pensioenen (+)/(-)",,,62,43.441,48.629
Afschrijvingen en waardeverminderingen op,,,,,
"oprichtingskosten, op immateriële en materiële vaste",,,,,
activa,,,630,3.445,3.318
"Waardeverminderingen op voorraden, op bestellingen",,,,,
in uitvoering en op handelsvorderingen: toevoegingen,,,,,
"(terugnemingen) (+)/(-)",,,631/4,,
Voorzieningen voor risico's en kosten: toevoegingen,,,,,
